Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
RAD21	gene	RAD21	Expert Review Green;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly;Septo-optic dysplasia			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	31334757;32696056		False	3	100;0;0	1.17	True		ENSG00000164754	ENSG00000164754	HGNC:9811													
SHH	gene	SHH	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly 3 (MIM#142945)			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	22791840;19057928		False	3	100;0;0	1.17	True		ENSG00000164690	ENSG00000164690	HGNC:10848													
SIX3	gene	SIX3	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly 2, MIM# 157170;MONDO:0007999			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	10369266;16323008;19346217		False	3	100;0;0	1.17	True		ENSG00000138083	ENSG00000138083	HGNC:10889													
SMC1A	gene	SMC1A	Expert Review Green;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	Other	"Epileptic encephalopathy, early infantile, 85, with or without midline brain defects, MIM#	301044"			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	31334757;28166369		False	3	100;0;0	1.17	True		ENSG00000072501	ENSG00000072501	HGNC:11111													
STAG2	gene	STAG2	Expert Review Green;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	Other	"Holoprosencephaly 13, X-linked, MIM#	301043"			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	31334757		False	3	100;0;0	1.17	True		ENSG00000101972	ENSG00000101972	HGNC:11355													
TGIF1	gene	TGIF1	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly 4, MIM# 142946;MONDO:0007734			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	10835638;16323008		False	3	100;0;0	1.17	True		ENSG00000177426	ENSG00000177426	HGNC:11776													
ZIC2	gene	ZIC2	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly 5, MIM# 609637;MONDO:0012322			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	9771712;11285244		False	3	100;0;0	1.17	True		ENSG00000043355	ENSG00000043355	HGNC:12873													
ZRSR2	gene	ZRSR2	Expert Review;Expert Review Green;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Orofaciodigital syndrome XXI, MIM# 301132			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	38158857		False	3	100;0;0	1.17	True		ENSG00000169249	ENSG00000169249	HGNC:23019													
ARID1A	gene	ARID1A	Expert Review Amber;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Coffin-Siris syndrome 2 #614607			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	35885948		False	2	25;75;0	1.17	True		ENSG00000117713	ENSG00000117713	HGNC:11110													
CNOT1	gene	CNOT1	Expert Review Amber;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Holoprosencephaly 12 with or without pancreatic agenesis MONDO:0032787			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	PMID: 31006513		False	2	67;33;0	1.17	True		ENSG00000125107	ENSG00000125107	HGNC:7877													
PLCH1	gene	PLCH1	Expert Review Amber;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Holoprosencephaly 14, MIM#	619895"			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	33820834		False	2	0;100;0	1.17	True		ENSG00000114805	ENSG00000114805	HGNC:29185													
PRDM15	gene	PRDM15	Expert Review Amber;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Holoprosenephaly;Steroid resistant nephrotic syndrome;Multiple congenital anomalies			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	31950080		False	2	0;100;0	1.17	True		ENSG00000141956	ENSG00000141956	HGNC:13999													
SOX2	gene	SOX2	Expert Review Amber;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Optic nerve hypoplasia and abnormalities of the central nervous system #206900;Microphthalmia, syndromic 3 #206900			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	35885948		False	2	0;100;0	1.17	True		ENSG00000181449	ENSG00000181449	HGNC:11195													
STIL	gene	STIL	Expert Review Amber;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Microcephaly 7, primary, autosomal recessive, MIM# 612703			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	25218063		False	2	50;0;50	1.17	True		ENSG00000123473	ENSG00000123473	HGNC:10879													
DLL1	gene	DLL1	Expert Review Red;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures, MIM# 618709			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	31353024		False	1	0;0;100	1.17	True		ENSG00000198719	ENSG00000198719	HGNC:2908													
GAS1	gene	GAS1	Expert Review Red;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	21842183;20583177		False	1	0;0;100	1.17	True		ENSG00000180447	ENSG00000180447	HGNC:4165													
GLI3	gene	GLI3	Expert Review Red;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pallister-Hall syndrome, MIM# 146510			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	24736735		False	1	67;0;33	1.17	True		ENSG00000106571	ENSG00000106571	HGNC:4319													
NODAL	gene	NODAL	Expert Review Red;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Heterotaxy, visceral, 5 (MIM#270100)			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	9354794;19064609		False	1	0;0;100	1.17	True		ENSG00000156574	ENSG00000156574	HGNC:7865													
SCN7A	gene	SCN7A	Expert Review Red;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Holoprosencephaly			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	32732226		False	1	0;0;100	1.17	True		ENSG00000136546	ENSG00000136546	HGNC:10594													
TDGF1	gene	TDGF1	Expert Review Red;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Forebrain abnormalities			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	12073012		False	1	0;0;100	1.17	True		ENSG00000241186	ENSG00000241186	HGNC:11701													
