Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACSL4	gene	ACSL4	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Mental retardation, X-linked 63, MIM# 300387 XLD			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	11889465;12525535		False	3	100;0;0	1.83	True		ENSG00000068366	ENSG00000068366	HGNC:3571													
ACTB	gene	ACTB	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser-Winter syndrome 1, MIM# 243310;Thrombocytopenia 8, with dysmorphic features and developmental delay, MIM# 620475;ACTB-related neurodevelopment disorder			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	29220674		False	3	100;0;0	1.83	True		ENSG00000075624	ENSG00000075624	HGNC:132													
ACTG1	gene	ACTG1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser-Winter syndrome 2, MIM#614583			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000184009	ENSG00000184009	HGNC:144													
ACTL6A	gene	ACTL6A	Expert Review Green;Genetic Health Queensland;Victorian Clinical Genetics Services	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental disorder, MONDO:0700092, ACTL6A-related			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	28649782		False	3	100;0;0	1.83	True		ENSG00000136518	ENSG00000136518	HGNC:24124													
ACTL6B	gene	ACTL6B	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"Epileptic encephalopathy, early infantile, 76, MIM#	618468;Intellectual developmental disorder with severe speech and ambulation defects, MIM#	618470"			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	31134736;31031012;30656450;30237576		False	3	100;0;0	1.83	True		ENSG00000077080	ENSG00000077080	HGNC:160													
ACY1	gene	ACY1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Aminoacylase 1 deficiency, MIM# 609924			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	16274666;16465618;17562838;24117009		False	3	100;0;0	1.83	True		ENSG00000243989	ENSG00000243989	HGNC:177													
ADAM22	gene	ADAM22	Expert Review;Expert Review Green	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Developmental and epileptic encephalopathy 61 (MIM#617933)			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	27066583;30237576		False	3	50;50;0	1.83	True		ENSG00000008277	ENSG00000008277	HGNC:201													
ADAMTS10	gene	ADAMTS10	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Weill-Marchesani syndrome 1, recessive, MIM#277600			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000142303	ENSG00000142303	HGNC:13201													
ADAR	gene	ADAR	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 6, MIM# 615010			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000160710	ENSG00000160710	HGNC:225													
ADARB1	gene	ADARB1	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with hypotonia, microcephaly, and seizures, 618862;Intellectual disability;microcephaly;seizures			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	32220291;32719099		False	3	100;0;0	1.83	True		ENSG00000197381	ENSG00000197381	HGNC:226													
ADAT3	gene	ADAT3	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Mental retardation, autosomal recessive 36, MIM#615286			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	23620220;26842963;29796286		False	3	100;0;0	1.83	True		ENSG00000213638	ENSG00000213638	HGNC:25151													
ADD1	gene	ADD1	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Neurodevelopmental disorder MONDO:0700092, ADD1-related;Intellectual disability, corpus callosum dysgenesis, and ventriculomegaly;no OMIM #			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	PMID: 34906466		False	3	100;0;0	1.83	True		ENSG00000087274	ENSG00000087274	HGNC:243													
ADD3	gene	ADD3	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cerebral palsy, spastic quadriplegic, 3, MIM#617008			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	29768408;23836506		False	3	100;0;0	1.83	True		ENSG00000148700	ENSG00000148700	HGNC:245													
ADGRG1	gene	ADGRG1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria, bilateral frontoparietal, MIM# 606854			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	16240336		False	3	100;0;0	1.83	True		ENSG00000205336	ENSG00000205336	HGNC:4512													
ADGRL1	gene	ADGRL1	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Developmental delay, behavioral abnormalities, and neuropsychiatric disorders, MIM# 620065			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	PMID: 35907405		False	3	100;0;0	1.83	True		ENSG00000072071	ENSG00000072071	HGNC:20973													
ADK	gene	ADK	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hypermethioninemia due to adenosine kinase deficiency, MIM# 614300			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	21963049;17120046		False	3	100;0;0	1.83	True		ENSG00000156110	ENSG00000156110	HGNC:257													
ADNP	gene	ADNP	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Helsmoortel-van der Aa syndrome MIM#615873;MONDO:0014379			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	24531329;25057125;25533962;29724491;29911927		False	3	100;0;0	1.83	True		ENSG00000101126	ENSG00000101126	HGNC:15766													
ADSL	gene	ADSL	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Adenylosuccinase deficiency, MIM# 103050			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000239900	ENSG00000239900	HGNC:291													
AFF2	gene	AFF2	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Intellectual disability, X-linked, FRAXE type 309548			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	8334699;21739600;22773736		False	3	100;0;0	1.83	True		ENSG00000155966	ENSG00000155966	HGNC:3776													
AFF3	gene	AFF3	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	KINSSHIP syndrome, MIM# 619297			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	31388108;33961779		False	3	100;0;0	1.83	True		ENSG00000144218	ENSG00000144218	HGNC:6473													
AFF4	gene	AFF4	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	CHOPS syndrome, MIM#616368;MONDO:0014609			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	25730767;33248856;31630891;31058441		False	3	100;0;0	1.83	True	Other	ENSG00000072364	ENSG00000072364	HGNC:17869													
AGA	gene	AGA	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Aspartylglucosaminuria, MIM#208400			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000038002	ENSG00000038002	HGNC:318													
AGMO	gene	AGMO	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder, MONDO:0700092, AGMO-related			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	31555905;27000257		False	3	100;0;0	1.83	True		ENSG00000187546	ENSG00000187546	HGNC:33784													
AGO1	gene	AGO1	Expert list;Expert Review Green	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures, MIM# 620292			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	30213762;22495306;23020937;25363768;25356899;27620904;29346770;28135719		False	3	100;0;0	1.83	True		ENSG00000092847	ENSG00000092847	HGNC:3262													
AGO2	gene	AGO2	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lessel-Kreienkamp syndrome (LESKRES), MIM#619149;Intellectual disability			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	33199684		False	3	100;0;0	1.83	True		ENSG00000123908	ENSG00000123908	HGNC:3263													
AGTPBP1	gene	AGTPBP1	Expert Review Green;NHS GMS	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Early onset cerebellar atrophy, developmental delay, and feeding and respiratory difficulties, severe motor neuronopathy;Neurodegeneration, childhood-onset, with cerebellar atrophy, 618276			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	30420557		False	3	100;0;0	1.83	True		ENSG00000135049	ENSG00000135049	HGNC:17258													
AHCY	gene	AHCY	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase, MIM#613752			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	31957987;27671891;30121674;28779239		False	3	100;0;0	1.83	True		ENSG00000101444	ENSG00000101444	HGNC:343													
AHDC1	gene	AHDC1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Xia-Gibbs syndrome, MIM# 615829;AHDC1-related intellectual disability, obstructive sleep apnoea, mild dysmorphism syndrome MONDO:0014358			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	24791903;27148574;30152016		False	3	100;0;0	1.83	True		ENSG00000126705	ENSG00000126705	HGNC:25230													
AHI1	gene	AHI1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Joubert Syndrome 3 OMIM #608629			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	15322546;16453322;21937992		False	3	100;0;0	1.83	True		ENSG00000135541	ENSG00000135541	HGNC:21575													
AIFM1	gene	AIFM1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Combined oxidative phosphorylation deficiency 6, 300816;Cowchock syndrome, 310490;Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy, 300232			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000156709	ENSG00000156709	HGNC:8768													
AIMP1	gene	AIMP1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Intellectual disability;Leukodystrophy, hypomyelinating, 3, MIM# 260600			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	26173967;21092922;24958424;33402283;32531460;30486714;30477741		False	3	100;0;0	1.83	True		ENSG00000164022	ENSG00000164022	HGNC:10648													
AJAP1	gene	AJAP1	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	neurodevelopmental disorder, MONDO:0700092, AJAP1-related			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	38985877		False	3	100;0;0	1.83	True		ENSG00000196581	ENSG00000196581	HGNC:30801													
AKT3	gene	AKT3	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2, MIM# 615937			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	22729224;22729223;35665751;34354878;32446860;31441589		False	3	100;0;0	1.83	True		ENSG00000117020	ENSG00000117020	HGNC:393													
ALDH18A1	gene	ALDH18A1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic paraplegia 9B, autosomal recessive, MIM# 616586			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000059573	ENSG00000059573	HGNC:9722													
ALDH3A2	gene	ALDH3A2	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Sjogren-Larsson syndrome MIM#270200;spasticity;ichthyosis;intellectual disability			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	31273323		False	3	100;0;0	1.83	True		ENSG00000072210	ENSG00000072210	HGNC:403													
ALDH4A1	gene	ALDH4A1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Hyperprolinemia, type II MIM#239510;disorders of ornithine or proline metabolism			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	9700195;34037900;31884946		False	3	100;0;0	1.83	True		ENSG00000159423	ENSG00000159423	HGNC:406													
ALDH5A1	gene	ALDH5A1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Succinic semialdehyde dehydrogenase deficiency, MIM# 271980			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	14635103		False	3	100;0;0	1.83	True		ENSG00000112294	ENSG00000112294	HGNC:408													
ALDH7A1	gene	ALDH7A1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Epilepsy, pyridoxine-dependent, MIM# 266100			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	33200442		False	3	100;0;0	1.83	True		ENSG00000164904	ENSG00000164904	HGNC:877													
ALG1	gene	ALG1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ik, MIM# 608540			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	26931382		False	3	100;0;0	1.83	True		ENSG00000033011	ENSG00000033011	HGNC:18294													
ALG11	gene	ALG11	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ip, MIM# 613661			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	30676690		False	3	100;0;0	1.83	True		ENSG00000253710	ENSG00000253710	HGNC:32456													
ALG12	gene	ALG12	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ig, MIM# 607143			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	31481313		False	3	100;0;0	1.83	True		ENSG00000182858	ENSG00000182858	HGNC:19358													
ALG13	gene	ALG13	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Congenital disorder of glycosylation, type Is (MIM# 300884)			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	23033978;23934111;24781210;24896178;25732998;26138355;26482601;28940310;32238909		False	3	100;0;0	1.83	True		ENSG00000101901	ENSG00000101901	HGNC:30881													
ALG14	gene	ALG14	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Intellectual  developmental disorder with epilepsy, behavioral abnormalities, and coarse facies (IDDEBF), MIM#619031;Myopathy, epilepsy, and progressive cerebral atrophy, MIM# 619036			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	30221345;23404334;28733338		False	3	100;0;0	1.83	True		ENSG00000172339	ENSG00000172339	HGNC:28287													
ALG3	gene	ALG3	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Id, MIM# 601110			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	31067009		False	3	100;0;0	1.83	True		ENSG00000214160	ENSG00000214160	HGNC:23056													
ALG6	gene	ALG6	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ic (MIM#603147)			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	10914684;27498540		False	3	100;0;0	1.83	True		ENSG00000088035	ENSG00000088035	HGNC:23157													
ALG8	gene	ALG8	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ih, MIM# 608104			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	26066342;35716054		False	3	100;0;0	1.83	True		ENSG00000159063	ENSG00000159063	HGNC:23161													
ALG9	gene	ALG9	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Il, MIM#608776			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	28932688		False	3	100;0;0	1.83	True		ENSG00000086848	ENSG00000086848	HGNC:15672													
ALKBH8	gene	ALKBH8	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Intellectual developmental disorder, autosomal recessive 71, MIM#618504			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	31079898		False	3	100;0;0	1.83	True		ENSG00000137760	ENSG00000137760	HGNC:25189													
