Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
COL18A1	gene	COL18A1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Knobloch syndrome, type 1 MIM# 267750			Abnormal cerebral cortex morphology;HP:0002538	25456301;19160445;17546652		False	3	100;0;0	4.69	True		ENSG00000182871	ENSG00000182871	HGNC:2195													
COL3A1	gene	COL3A1	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Polymicrogyria with or without vascular-type ehlers-danlos syndrome, MIM # 618343;Ehlers-Danlos syndrome, vascular type, MIM# 130050			Abnormal cerebral cortex morphology;HP:0002538	28742248;19455184;25205403		False	3	100;0;0	4.69	True		ENSG00000168542	ENSG00000168542	HGNC:2201													
COL3A1	gene	COL3A1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria with or without vascular-type Ehlers-Danlos syndrome, MIM # 618343			Abnormal cerebral cortex morphology;HP:0002538	28742248;19455184;25205403		False	3	100;0;0	4.69	True		ENSG00000168542	ENSG00000168542	HGNC:2201													
COL4A1	gene	COL4A1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	1. Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps, 611773 AD;2. Brain small vessel disease with or without ocular anomalies, 175780, AD;3. Microangiopathy and leukoencephalopathy, pontine, autosomal dominant, 618564, AD;4. ?Retinal arteries, tortuosity of, 180000, AD;5. {Hemorrhage, intracerebral, susceptibility to}, 614519			Abnormal cerebral cortex morphology;HP:0002538	23065703;31719132		False	3	100;0;0	4.69	True		ENSG00000187498	ENSG00000187498	HGNC:2202													
CRADD	gene	CRADD	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Mental retardation, autosomal recessive 34, with variant lissencephaly, MIM# 614499			Abnormal cerebral cortex morphology;HP:0002538	27773430		False	3	100;0;0	4.69	True		ENSG00000169372	ENSG00000169372	HGNC:2340													
CSMD1	gene	CSMD1	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	complex neurodevelopmental disorder MONDO:0100038			Abnormal cerebral cortex morphology;HP:0002538	PMID 38816421		False	3	100;0;0	4.69	True		ENSG00000183117	ENSG00000183117	HGNC:14026													
CTNNA2	gene	CTNNA2	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cortical dysplasia, complex, with other brain malformations 9, MIM#618174			Abnormal cerebral cortex morphology;HP:0002538	30013181		False	3	100;0;0	4.69	True		ENSG00000066032	ENSG00000066032	HGNC:2510													
DCHS1	gene	DCHS1	Expert Review Green;Australian Genomics Health Alliance Brain Malformation Flagship;Victorian Clinical Genetics Services	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Van Maldergem syndrome 1, MIM# 601390			Abnormal cerebral cortex morphology;HP:0002538	24056717;29046692		False	3	100;0;0	4.69	True		ENSG00000166341	ENSG00000166341	HGNC:13681													
DCHS1	gene	DCHS1	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Van Maldergem syndrome 1	(MIM#601390)"			Abnormal cerebral cortex morphology;HP:0002538	27262615;22473091		False	3	100;0;0	4.69	True		ENSG00000166341	ENSG00000166341	HGNC:13681													
DCX	gene	DCX	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Lissencephaly, X-linked, MIM# 300067;Subcortical laminal heterotopia, X-linked 300067			Abnormal cerebral cortex morphology;HP:0002538	10915612;9489699;12552055		False	3	100;0;0	4.69	True		ENSG00000077279	ENSG00000077279	HGNC:2714													
DEPDC5	gene	DEPDC5	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Epilepsy, familial focal, with variable foci 1 (MIM#604364)			Abnormal cerebral cortex morphology;HP:0002538	31444548		False	3	100;0;0	4.69	True		ENSG00000100150	ENSG00000100150	HGNC:18423													
DEPDC5	gene	DEPDC5	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder, DEPDC5-related, MONDO:0700092			Abnormal cerebral cortex morphology;HP:0002538	PMID: 36067010;32848577		False	3	100;0;0	4.69	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000100150	ENSG00000100150	HGNC:18423													
DYNC1H1	gene	DYNC1H1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	Unknown				Abnormal cerebral cortex morphology;HP:0002538			False	3	0;0;0	4.69	False		ENSG00000197102	ENSG00000197102	HGNC:2961													
DYNC1H1	gene	DYNC1H1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Mental retardation, autosomal dominant 13, MIM# 614563			Abnormal cerebral cortex morphology;HP:0002538	23603762;29671837;32570172;27331017		False	3	100;0;0	4.69	True		ENSG00000197102	ENSG00000197102	HGNC:2961													
EML1	gene	EML1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Band heterotopia (MIM# 600348)			Abnormal cerebral cortex morphology;HP:0002538	31710781		False	3	100;0;0	4.69	True		ENSG00000066629	ENSG00000066629	HGNC:3330													
EML1	gene	EML1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Band heterotopia (MIM# 600348)			Abnormal cerebral cortex morphology;HP:0002538	31710781		False	3	100;0;0	4.69	True		ENSG00000066629	ENSG00000066629	HGNC:3330													
FKRP	gene	FKRP	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5, MIM# 613153			Abnormal cerebral cortex morphology;HP:0002538			False	3	100;0;0	4.69	True		ENSG00000181027	ENSG00000181027	HGNC:17997													
FKTN	gene	FKTN	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, MIM# 253800			Abnormal cerebral cortex morphology;HP:0002538			False	3	100;0;0	4.69	True		ENSG00000106692	ENSG00000106692	HGNC:3622													
FLNA	gene	FLNA	Expert Review Green;Australian Genomics Health Alliance Brain Malformation Flagship;Victorian Clinical Genetics Services	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Heterotopia, periventricular, 1 , MIM#300049			Abnormal cerebral cortex morphology;HP:0002538	9883725;15668422;15994863		False	3	100;0;0	4.69	True		ENSG00000196924	ENSG00000196924	HGNC:3754													
GPSM2	gene	GPSM2	Expert Review Green;Expert list	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Chudley-McCullough syndrome MIM#604213			Abnormal cerebral cortex morphology;HP:0002538	22578326		False	3	100;0;0	4.69	True		ENSG00000121957	ENSG00000121957	HGNC:29501													
GRIN1	gene	GRIN1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant, MIM#	614254"			Abnormal cerebral cortex morphology;HP:0002538	29365063		False	3	100;0;0	4.69	True		ENSG00000176884	ENSG00000176884	HGNC:4584													
GRIN2B	gene	GRIN2B	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	GRIN2B-related neurodevelopmental disorder;Mental retardation, autosomal dominant 6, MIM# 613970			Abnormal cerebral cortex morphology;HP:0002538	28377535		False	3	100;0;0	4.69	True		ENSG00000273079	ENSG00000273079	HGNC:4586													
HNRNPK	gene	HNRNPK	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Au-Kline syndrome MIM#616580			Abnormal cerebral cortex morphology;HP:0002538			False	3	100;0;0	4.69	True		ENSG00000165119	ENSG00000165119	HGNC:5044													
HSD17B4	gene	HSD17B4	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	D-bifunctional protein deficiency - MIM#261515			Abnormal cerebral cortex morphology;HP:0002538	27790638;32904102		False	3	100;0;0	4.69	True		ENSG00000133835	ENSG00000133835	HGNC:5213													
ISPD	gene	ISPD	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7, MIM# 614643			Abnormal cerebral cortex morphology;HP:0002538	22522421;23217329		False	3	100;0;0	4.69	True		ENSG00000214960	ENSG00000214960	HGNC:37276													
KATNB1	gene	KATNB1	Expert Review Green;Expert list	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Lissencephaly 6, with microcephaly, MIM#	616212"			Abnormal cerebral cortex morphology;HP:0002538	25521378;25521379;26640080		False	3	100;0;0	4.69	True		ENSG00000140854	ENSG00000140854	HGNC:6217													
KIF1BP	gene	KIF1BP	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Goldberg-Shprintzen megacolon syndrome MIM#609460			Abnormal cerebral cortex morphology;HP:0002538	23427148;15883926		False	3	100;0;0	4.69	True		ENSG00000198954	ENSG00000198954	HGNC:23419													
KIF26A	gene	KIF26A	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cortical dysplasia, complex, with other brain malformations 11, MIM# 620156			Abnormal cerebral cortex morphology;HP:0002538	PMID: 36228617		False	3	100;0;0	4.69	True		ENSG00000066735	ENSG00000066735	HGNC:20226													
KIF2A	gene	KIF2A	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cortical dysplasia, complex, with other brain malformations 3, MIM# 615411			Abnormal cerebral cortex morphology;HP:0002538	23603762;27896282;27747449;29077851;31919497		False	3	100;0;0	4.69	True		ENSG00000068796	ENSG00000068796	HGNC:6318													
KIF5C	gene	KIF5C	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cortical dysplasia, complex, with other brain malformations 2, MIM# 615282			Abnormal cerebral cortex morphology;HP:0002538	23603762;23033978;32562872		False	3	100;0;0	4.69	True		ENSG00000168280	ENSG00000168280	HGNC:6325													
KIF5C	gene	KIF5C	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cortical dysplasia, complex, with other brain malformations 2, MIM# 615282			Abnormal cerebral cortex morphology;HP:0002538	23603762;23033978;32562872		False	3	100;0;0	4.69	True		ENSG00000168280	ENSG00000168280	HGNC:6325													
LAMA2	gene	LAMA2	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	LAMA2-related muscular dystrophy;Muscular dystrophy, congenital, merosin deficient or partially deficient, MIM# 607855			Abnormal cerebral cortex morphology;HP:0002538	20207543;18406646		False	3	100;0;0	4.69	True		ENSG00000196569	ENSG00000196569	HGNC:6482													
LAMA2	gene	LAMA2	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy, congenital, merosin deficient or partially deficient, MIM# 607855			Abnormal cerebral cortex morphology;HP:0002538	32827036		False	3	100;0;0	4.69	True		ENSG00000196569	ENSG00000196569	HGNC:6482													
LAMB1	gene	LAMB1	Expert Review Green;Expert Review	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Lissencephaly 5, MIM#	615191"			Abnormal cerebral cortex morphology;HP:0002538	23472759;25925986		False	3	100;0;0	4.69	True		ENSG00000091136	ENSG00000091136	HGNC:6486													
LAMB1	gene	LAMB1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Lissencephaly 5, MIM# 615191			Abnormal cerebral cortex morphology;HP:0002538	23472759;25925986;29888467		False	3	100;0;0	4.69	True		ENSG00000091136	ENSG00000091136	HGNC:6486													
LAMC3	gene	LAMC3	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cortical malformations, occipital, MIM#614115			Abnormal cerebral cortex morphology;HP:0002538	21572413;34354730		False	3	100;0;0	4.69	True		ENSG00000050555	ENSG00000050555	HGNC:6494													
LARGE1	gene	LARGE1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6, MIM# 613154;Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6, MIM# 608840			Abnormal cerebral cortex morphology;HP:0002538			False	3	100;0;0	4.69	True		ENSG00000133424	ENSG00000133424	HGNC:6511													
LARGE1	gene	LARGE1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6, MIM# 613154			Abnormal cerebral cortex morphology;HP:0002538			False	3	100;0;0	4.69	True		ENSG00000133424	ENSG00000133424	HGNC:6511													
MACF1	gene	MACF1	Expert Review Green;Expert list	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Lissencephaly 9 with complex brainstem malformation, MIM#	618325"			Abnormal cerebral cortex morphology;HP:0002538	30471716		False	3	100;0;0	4.69	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000127603	ENSG00000127603	HGNC:13664													
MAN2C1	gene	MAN2C1	Expert Review Green;Research;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of deglycosylation 2, MIM# 619775			Abnormal cerebral cortex morphology;HP:0002538	35045343		False	3	100;0;0	4.69	True		ENSG00000140400	ENSG00000140400	HGNC:6827													
